fid;alt;ru;cwb_2020;cwb_2021;cwb_2022;cwb_2023;cwb_2024;cwb_2025
157;436.60999;2;-296.91477;-399.6687;-595.8819;-470.92504;-373.31533;
158;339.48001;2;-296.91477;-399.6687;-600.96795;-449.66503;-381.4609;
159;280.51001;2;-305.67216;-407.70875;-600.96795;-449.66503;-381.4609;
160;236.85001;2;-305.67216;-407.70875;-600.96795;-449.66503;-381.4609;
161;243.05;2;-305.67216;-407.70875;-600.96795;-449.66503;-381.4609;-414.10001
162;256.73001;2;-305.67216;-407.70875;-600.96795;-449.66503;-381.4609;-414.10001
163;184.64;2;-305.67216;-407.70875;-609.7054;-448.35113;-392.5125;-414.10001
164;189.11;2;-307.65648;-414.10613;-609.7054;-448.35113;-392.5125;-414.10001
165;178.86;2;-307.65648;-414.10613;-609.7054;-448.35113;-392.5125;-414.10001
166;168.73;2;-307.65648;-414.10613;-609.7054;-448.35113;-392.5125;-414.10001
167;148.69;2;-307.65648;-414.10613;-609.7054;-463.60537;-416.74471;-414.10001
168;151.78;2;-307.65648;-414.10613;-630.13517;-463.60537;-416.74471;-414.10001
169;146.98;2;-307.65648;-414.10613;-630.13517;-463.60537;-416.74471;-353.60001
170;142.92;2;-307.65648;-414.10613;-630.13517;-463.60537;-416.74471;-414.10001
171;161.69;2;-307.65648;-414.10613;-630.13517;-463.60537;-416.74471;-353.60001
172;169.59;2;-307.65648;-414.10613;-609.7054;-463.60537;-416.74471;-353.60001
173;170.72;2;-307.65648;-414.10613;-609.7054;-463.60537;-416.74471;-414.10001
174;168.60001;2;-307.65648;-414.10613;-609.7054;-463.60537;-416.74471;-353.60001
175;195.17;2;-307.65648;-414.10613;-609.7054;-448.35113;-392.5125;-353.60001
176;167.94;2;-307.65648;-414.10613;-609.7054;-448.35113;-392.5125;-414.10001
177;164.78999;2;-307.65648;-414.10613;-609.7054;-448.35113;-392.5125;-353.60001
178;163.92;2;-287.84705;-373.24646;-654.35205;-471.89927;-441.24909;-353.60001
179;187.42;2;-287.84705;-373.24646;-534.699;-471.89927;-441.24909;-353.60001
180;163.25;2;-287.84705;-373.24646;-534.699;-383.63467;-309.90838;-353.60001
181;196.81;2;-287.84705;-373.24646;-534.699;-383.63467;-309.90838;-353.60001
182;192.09;2;-307.65648;-414.10613;-609.7054;-448.35113;-392.5125;-353.60001
183;184.52;2;-307.65648;-414.10613;-609.7054;-448.35113;-392.5125;-353.60001
184;179.28;2;-307.65648;-414.10613;-609.7054;-448.35113;-392.5125;-414.10001
185;210;2;-287.84705;-373.24646;-534.699;-383.63467;-309.90838;-353.60001
186;180.95;2;-307.65648;-414.10613;-609.7054;-448.35113;-392.5125;-353.60001
187;207.94;2;-307.65648;-414.10613;-609.7054;-448.35113;-392.5125;-353.60001
188;208.37;2;-307.65648;-414.10613;-609.7054;-448.35113;-392.5125;-414.10001
189;266.59;2;-241.70829;-272.52889;-534.699;-383.63467;-309.90838;-353.60001
190;206.46001;2;-305.67216;-407.70875;-609.7054;-448.35113;-392.5125;-414.10001
191;227.16;2;-305.67216;-407.70875;-609.7054;-448.35113;-392.5125;-353.60001
192;236.42999;2;-305.67216;-407.70875;-609.7054;-448.35113;-392.5125;-353.60001
193;191.23;2;-287.84705;-373.24646;-654.35205;-471.89927;-441.24909;-353.60001
194;191.64;2;-287.84705;-373.24646;-534.699;-471.89927;-441.24909;-353.60001
195;183.24001;2;-287.84705;-373.24646;-534.699;-383.63467;-309.90838;-353.60001
196;195.19;2;-287.84705;-373.24646;-534.699;-383.63467;-309.90838;-353.60001
197;207.64999;2;-287.84705;-373.24646;-534.699;-383.63467;-309.90838;-353.60001
198;273.70001;2;-241.70829;-272.52889;-534.699;-383.63467;-309.90838;-353.60001
199;310.01001;2;-241.70829;-272.52889;-545.41903;-403.66467;-320.03621;-353.60001
200;310.47;2;-241.70829;-272.52889;-545.41903;-403.66467;-320.03621;-353.60001
201;265.70001;2;-305.67216;-407.70875;-600.96795;-449.66503;-381.4609;-353.60001
202;220.64999;2;-305.67216;-407.70875;-600.96795;-449.66503;-381.4609;-414.10001
203;252.05;2;-305.67216;-407.70875;-600.96795;-449.66503;-381.4609;-353.60001
204;357.17001;2;-305.67216;-407.70875;-600.96795;-449.66503;-381.4609;
205;484.17999;2;-296.91477;-399.6687;-595.8819;-470.92504;-373.31533;
206;237.78999;2;-305.67216;-407.70875;-600.96795;-449.66503;-381.4609;-414.10001
207;407.14999;2;-296.91477;-399.6687;-600.96795;-449.66503;-381.4609;
208;280.91;2;-305.67216;-407.70875;-600.96795;-449.66503;-381.4609;
209;552.16998;2;-296.91477;-399.6687;-595.8819;-470.92504;-373.31533;
210;285.34;2;-305.67216;-407.70875;-600.96795;-449.66503;-381.4609;-353.60001
211;546.17999;2;-296.91477;-399.6687;-595.8819;-470.92504;-373.31533;
212;358.79999;2;-305.67216;-407.70875;-600.96795;-449.66503;-381.4609;
213;408.88;2;-296.91477;-399.6687;-600.96795;-449.66503;-381.4609;
214;368.07001;2;-296.91477;-399.6687;-595.8819;-470.92504;-373.31533;
215;560.84003;2;-296.91477;-399.6687;-595.8819;-470.92504;-373.31533;
216;409.57001;2;-305.67216;-407.70875;-600.96795;-449.66503;-381.4609;
217;337.31;2;-305.67216;-407.70875;-600.96795;-449.66503;-381.4609;-353.60001
218;627.41998;2;-296.91477;-399.6687;-595.8819;-470.92504;-373.31533;
219;570.79999;2;-296.91477;-399.6687;-595.8819;-470.92504;-373.31533;
220;386.03;2;-305.67216;-407.70875;-600.96795;-449.66503;-381.4609;
221;448.04999;2;-296.91477;-399.6687;-600.96795;-449.66503;-381.4609;
222;384.82999;2;-296.91477;-399.6687;-595.8819;-470.92504;-373.31533;
223;507.23001;2;-296.91477;-399.6687;-595.8819;-470.92504;-373.31533;
224;440.42999;2;-305.67216;-407.70875;-600.96795;-449.66503;-381.4609;
225;360.01999;2;-241.70829;-272.52889;-545.41903;-403.66467;-320.03621;-353.60001
226;438.63;2;-241.70829;-272.52889;-545.41903;-403.66467;-320.03621;
227;505.16;2;-241.70829;-272.52889;-545.41903;-403.66467;-320.03621;
228;551.92999;2;-280.1414;-370.53082;-545.41903;-403.66467;-320.03621;
